x,y,class,n_x,n_y,n_class
-3.303446754655834,-11.245893901451309,false,-3.3191935474876146,-11.223832259692408,true
2.46172736347811,10.420853782876792,false,2.4471913338284152,10.423759290140216,true
1.6331545234930958,-2.359262288713686,false,1.6297676417597387,-2.3720223023942912,true
-3.2961164794802564,-10.877633303288533,false,-3.318164199009278,-10.872984203515575,true
-3.3130470668700456,-10.562168039118323,false,-3.328708264393745,-10.562060804347452,true
2.4596316377487315,5.659341895149758,false,2.4453006825180474,5.661889605292947,true
2.4524506499792613,-6.727778552618725,false,2.446419351237215,-6.73559460044562,true
2.456182727401662,4.10239597709726,false,2.4424809046339817,4.1082387559377285,true
2.4496248954197233,9.456917743797497,false,2.4288842960710433,9.457606617266284,true
0.46981244901061303,-2.3500165047205255,false,0.4824491035282207,-2.3696059173798454,true
2.456522545056923,3.7289237083618287,false,2.4351338547099455,3.744515177236096,true
2.4571549870971965,1.932671401165552,false,2.44829744598619,1.9316962293621567,true
2.4535351855403045,-6.527826126678022,false,2.442404006987201,-6.534043309273493,true
-3.3077548037668616,-7.04779174360676,false,-3.3275912505203107,-7.061680126661537,true
-0.05911750551242534,-0.5085804004729614,false,-0.05691845293398767,-0.4952666241941389,true
2.4497743074186635,0.5804759579879777,false,2.441304852202375,0.6021034386282805,true
2.4490860239466836,-4.565665978543063,false,2.4413242177244743,-4.556125660792015,true
-2.2009379387357217,-6.946259448860346,false,-2.17955692793542,-6.931039721749269,true
-3.299748059121477,-7.9894405568548645,false,-3.321444449830926,-7.979275650085687,true
2.46728895735564,2.536458020002469,false,2.4454064753136415,2.5432009990786555,true
2.4499179535178217,8.30728434286032,false,2.438599040960562,8.29438266205213,true
2.451726574384417,8.17137637562153,false,2.443557410081527,8.185988887847993,true
-3.2995813302362325,-1.8848207434796156,false,-3.321835841615361,-1.890386302196255,true
-3.305236922933236,-8.026072068610477,false,-3.326817667225452,-8.034092846900258,true
-3.308571546673374,-2.8212974765621195,false,-3.315858273663747,-2.8340692311213562,true
-0.9773648826838265,-6.941251877342883,false,-0.9962953616331081,-6.918116874631063,true
2.4676317205577076,-4.073995508614827,false,2.4485256364395496,-4.06926453949206,true
-3.3049451379866492,-10.520842644548036,false,-3.3180788202088287,-10.503061728904205,true
1.513711842545782,-6.9381214112062795,false,1.5237104396453711,-6.92421235788724,true
2.0653636675241684,-0.504767618223949,false,2.0563830619305725,-0.4831601770936132,true
