bc_id,output,distance
1,0,6.562689997249602
2,0,9.107189467667839
3,0,6.144338857843049
4,0,7.093741794004064
5,0,6.952294585243065
6,0,46.88518726250329
7,0,3.134255294324316
8,0,5.046592910073092
9,0,30.08359187331194
10,0,38.64222271867912
11,0,7.117027584602999
12,0,101.40671821925805
13,0,4.498988775269392
14,0,11.58105114572939
15,0,16.309754749842213
16,0,20.925106929236954
17,0,2.6714977072795705
18,0,8.50593322334475
19,0,4.584713731521304
20,0,18.294946594346754
1,1,3.5123211698248777
2,1,10.605019608185547
3,1,7.658256981846455
4,1,7.75784925092
5,1,7.1010140120971466
6,1,13.354617413089754
7,1,3.7062252548920975
8,1,5.197134103522825
9,1,5.81434369813137
10,1,19.612394677856155
11,1,7.060964877408751
12,1,87.3177543515636
13,1,4.215969639359373
14,1,9.765494400694724
15,1,19.032984526868102
16,1,13.292287237341805
17,1,3.450955648802228
18,1,16.311909759436507
19,1,3.0597455596830265
20,1,18.69755064172845
