bc_id,output,distance
1,0,20.49462988527543
2,0,15.140828300177391
3,0,18.585000956125405
4,0,10.722897232692885
5,0,28.44247362763761
6,0,41.661936143443
7,0,43.60709984057881
8,0,13.638780349837399
9,0,29.04994674598482
10,0,8.855471834485035
11,0,51.39831760313071
12,0,26.69753496824607
13,0,15.461215595501429
14,0,22.01063269319143
15,0,42.05846765626087
16,0,9.899112108162235
17,0,8.932032308908674
18,0,9.655446153669981
19,0,29.241476644999103
20,0,30.36817149525523
1,1,27.039028179411805
2,1,30.22193181311703
3,1,22.212688635190013
4,1,10.26402891225116
5,1,32.20078977685023
6,1,38.04091398579864
7,1,30.27021821173043
8,1,26.92065556250773
9,1,11.645067098534282
10,1,9.94171863292983
11,1,54.070309001081114
12,1,11.593261914261625
13,1,16.90154466438264
14,1,25.890634117744025
15,1,51.125599674951786
16,1,13.790983214905042
17,1,16.434531015280232
18,1,17.023465229592713
19,1,27.726394151267275
20,1,26.60774902882983
