bc_id,output,distance
1,0,0.4095138930662237
2,0,0.6124581204179926
3,0,0.7876424149598594
4,0,1.338100117148078
5,0,0.7358722689234714
6,0,0.5325513938583608
7,0,0.6176722126086782
8,0,0.5121389959516057
9,0,0.3380564698774368
10,0,0.6802437373824165
11,0,0.8651545916685343
12,0,0.7590640195877716
13,0,0.3791287885233991
14,0,1.1991309090606375
15,0,0.5281993928205655
16,0,0.7677588757334683
17,0,0.700559441344467
18,0,0.9349847516546214
19,0,0.7594634283859572
20,0,0.5459079824249993
1,1,0.5334016190066976
2,1,0.6551893819564544
3,1,0.341051077590433
4,1,1.1794282694189941
5,1,0.2997963799676549
6,1,0.15296926477754746
7,1,0.3811949016676308
8,1,0.7652327254039285
9,1,0.43622347927008365
10,1,1.2077030557388186
11,1,0.5920011249052947
12,1,1.454690935981645
13,1,0.9606699933176281
14,1,0.3189784748190174
15,1,1.3154819056145977
16,1,0.8410782602892569
17,1,1.8868752175084322
18,1,0.7260953392472682
19,1,0.5947512525658685
20,1,1.203709168652241
