bc_id,output,distance
1,0,10.333444475193154
2,0,26.19311017540447
3,0,11.30001350644491
4,0,22.48854391199596
5,0,52.617776531095295
6,0,60.30877555731713
7,0,91.53410198824523
8,0,23.617498850982862
9,0,150.56893133309052
10,0,23.96738178151431
11,0,62.51516058964143
12,0,24.833935654571217
13,0,61.05012575347335
14,0,151.73099902346115
15,0,110.46572030317398
16,0,42.6130412327673
17,0,39.74183390874159
18,0,34.73183173928062
19,0,46.36663840372031
20,0,61.91272652604604
1,1,8.829911426706484
2,1,26.46935866405699
3,1,14.09028325352628
4,1,34.44291536594795
5,1,83.46022775661889
6,1,58.79607151163213
7,1,88.51602236335883
8,1,21.09536321747929
9,1,86.45806955754026
10,1,51.84043370273226
11,1,53.338505718025935
12,1,37.39408758874616
13,1,33.66149636355673
14,1,25.032162116528585
15,1,105.9767968343835
16,1,77.93016292300753
17,1,41.974804658583224
18,1,50.91233779832133
19,1,65.20070311876701
20,1,67.16969339462986
