bc_id,output,distance
1,0,0.33344219326577257
2,0,1.0236198478860659
3,0,0.5589083143120693
4,0,0.5918277926696047
5,0,0.6787112661307216
6,0,0.6780984317755572
7,0,0.9908552639850526
8,0,0.5868776849421622
9,0,0.33598794853088354
10,0,0.43924297212572194
11,0,0.8615603336104791
12,0,0.4844115895802043
13,0,0.3623198434668888
14,0,0.8391122467271604
15,0,0.8480381975889517
16,0,0.5588130617348925
17,0,0.6362285321121598
18,0,0.7058354437689947
19,0,0.30099144219844287
20,0,0.43576434061027775
1,1,0.5824314517625861
2,1,0.35457985068946873
3,1,0.4974990731019935
4,1,0.41815229387957425
5,1,0.1944106444786359
6,1,0.799971670679499
7,1,0.290566687418521
8,1,1.1544127992562656
9,1,0.7226230534512065
10,1,0.47885250101942606
11,1,0.6690722239742523
12,1,1.1756904248741586
13,1,0.824883170008512
14,1,0.8543001054188507
15,1,0.4611712360090281
16,1,0.5678269302358406
17,1,0.44583212751507206
18,1,1.1927810899201818
19,1,0.3567367596423031
20,1,0.4376717188754517
